Title,Status,Priority,Estimate,Labels,Description,Parent
Epic 14 — External User-Creation API,Backlog,High,,Epic;user-types,"Externally callable, OpenAPI-documented user-creation API for partners. Per-tenant API keys + HMAC request signing (Decision D3, reuses auth/hmac.py). Rate limited, idempotent, tenant derived from key. Security-reviewed.",
api_keys model + migration,Backlog,High,2,user-types;data;security,"api_keys table: tenant_id, key_id, secret_hash (never plaintext), status, created_at, last_used_at. Secret shown once on creation. Tenant-scoped. Migration + tenant isolation test.",Epic 14 — External User-Creation API
API key management UI on Tenants screen,Backlog,Medium,2,user-types;admin-ui,"API keys tab on the Tenants detail screen: create (show secret once), list, revoke. Follows existing tenant tabs layout.",Epic 14 — External User-Creation API
API-key + HMAC auth dependency,Backlog,High,3,user-types;backend;security,"FastAPI dependency verifying X-Sasai-Api-Key + X-Sasai-Signature (HMAC-SHA256, t=<unix>,v1=<hex>, 300s replay window via auth/hmac.py). Resolves tenant from the key. Error codes api_key_invalid, signature_invalid, signature_replayed. Tests: valid, bad key, bad signature, replayed, expired timestamp.",Epic 14 — External User-Creation API
POST /api/v1/external/users,Backlog,High,3,user-types;backend;identity,"External create-user endpoint: same semantics as admin create; tenant from API key (never from payload); email or phone; Idempotency-Key required. Reuses identity.create_user service. Tests: happy, auth failures, 422, idempotency, cross-tenant rejection.",Epic 14 — External User-Creation API
Per-key rate limiting (Redis),Backlog,Medium,2,user-types;backend;platform,"Per-API-key rate limit on external endpoints (Redis token bucket). Exceed -> 429 rate_limited. Test asserts limit + reset.",Epic 14 — External User-Creation API
Curated OpenAPI external tag + exported partner spec,Backlog,Medium,2,user-types;backend;docs,"Tag external endpoints; add curated request/response examples and the {error_code, message} envelope. Export the partner-facing OpenAPI spec into docs/ for distribution.",Epic 14 — External User-Creation API
Security review: external surface (STRIDE + OWASP API),Backlog,High,2,user-types;security,"security agent: STRIDE threat model + OWASP API Top 10 pass on API keys, HMAC, rate limiting, and external create. Sign-off required before merge (CLAUDE.md trigger: auth + money + PII).",Epic 14 — External User-Creation API
Epic 15 — Type-Aware Limits,Backlog,Medium,,Epic;user-types,"Make limit configs resolvable by user_type. Add nullable user_type to limit_configs and wallet_limit_configs (NULL = default for all types); exact-type row beats default at enforcement. Extends WAL-233..238 limits work.",
Add nullable user_type to limit_configs + wallet_limit_configs,Backlog,High,2,user-types;data;limits,"Migration adds nullable user_type to both tables; extend unique constraints with user_type using NULLS NOT DISTINCT (or paired partial unique indexes if local PG < 15 — decide in migration). Tenant isolation preserved. Migration test.",Epic 15 — Type-Aware Limits
Resolution precedence in limit enforcement,Backlog,High,2,user-types;backend;limits,"Enforcement resolves exact (existing dims + caller user_type) first, else the user_type IS NULL default row (ORDER BY user_type NULLS LAST LIMIT 1). No per-user overrides. Applies to both service and wallet limits.",Epic 15 — Type-Aware Limits
Limits CRUD schema + router updates for user_type,Backlog,Medium,1,user-types;backend;limits,"Add optional user_type to limit + wallet-limit create schemas and list/delete filters. Validation against the user_type enum. API tests.",Epic 15 — Type-Aware Limits
Limits UI: user_type column + selector,Backlog,Medium,2,user-types;admin-ui,"Add user_type column (All types when NULL) and a user_type selector to the create dialogs on the Limits page.",Epic 15 — Type-Aware Limits
Precedence matrix tests for limits,Backlog,High,1,user-types;backend;limits,"Tests for typed row vs NULL default vs no config, across service and wallet limits; confirm exact-type wins and default fallback works.",Epic 15 — Type-Aware Limits
Epic 16 — Type-Aware Pricing,Backlog,Medium,,Epic;user-types,"Make pricing/fees resolvable by user_type. Add nullable user_type to pricing_configs; quote_fee resolves exact-type first, else default. Mirrors Epic 15 for fees.",
Add nullable user_type to pricing_configs,Backlog,High,1,user-types;data;pricing,"Migration adds nullable user_type to pricing_configs; extend unique constraint with user_type (NULLS NOT DISTINCT or paired partial indexes). Migration + tenant isolation test.",Epic 16 — Type-Aware Pricing
quote_fee precedence resolution by user_type,Backlog,High,2,user-types;backend;pricing,"quote_fee resolves exact (existing dims + user_type) first, else user_type IS NULL default (ORDER BY user_type NULLS LAST LIMIT 1). Fee still quoted before ledger write (Pay-PRD-0260).",Epic 16 — Type-Aware Pricing
Pricing CRUD schema + router updates for user_type,Backlog,Medium,1,user-types;backend;pricing,"Add optional user_type to pricing create schema + list/delete filters; validate against enum. API tests.",Epic 16 — Type-Aware Pricing
Pricing UI: user_type column + selector,Backlog,Medium,2,user-types;admin-ui,"Add user_type column (All types when NULL) and selector to the create dialog on the Pricing page.",Epic 16 — Type-Aware Pricing
Precedence matrix tests for pricing,Backlog,High,1,user-types;backend;pricing,"Tests for typed row vs NULL default vs no config in quote_fee; confirm exact-type wins and default fallback.",Epic 16 — Type-Aware Pricing
Epic 17 — Airtime Merchant Vertical,Backlog,High,,Epic;user-types,"First merchant vertical. Airtime merchant collects user funds into a merchant_collection ledger account, then provisions airtime via an external provider after commit. Uses merchants-as-users (D1). Builds on AirtimeRecharge model and airtime_merchant_holding groundwork. Depends on Epics 12, 15, 16.",
merchant_profiles model + migration,Backlog,High,2,user-types;data,"merchant_profiles one-to-one with merchant/head_merchant users: user_id PK/FK, tenant_id, business_name, category, provider_config JSONB, settlement fields, timestamps. Created transactionally with the user or on type change into a merchant type. Migration + tenant isolation test.",Epic 17 — Airtime Merchant Vertical
merchant_collection account type + provisioning,Backlog,High,2,user-types;backend;accounts,"Add merchant_collection account type constant. Provision one account per (tenant, merchant user, merchant_collection, currency) on merchant-profile creation, via existing partial unique index. Reuses accounts.user_id ownership.",Epic 17 — Airtime Merchant Vertical
Airtime purchase flow: double-entry + pricing + limits,Backlog,High,3,user-types;backend;ledger;payments,"Purchase posts one transaction: debit consumer financial_wallet, credit merchant merchant_collection, fee legs to system_fee_collected via type-aware pricing. Limits enforced with consumer user_type. AirtimeRecharge row created PENDING, linked to the transaction. Idempotency-Key. Ledger-invariant tests (entries balance, append-only).",Epic 17 — Airtime Merchant Vertical
Provider adapter interface + Celery provisioning task,Backlog,High,3,user-types;backend;celery,"After DB commit (NFR-0130), a Celery task calls the external airtime provider via an adapter interface (config from merchant_profiles.provider_config). Success -> recharge COMPLETED + event. Bounded retries with backoff. External call never inside the DB transaction.",Epic 17 — Airtime Merchant Vertical
Failure reversal path + reconciliation hook,Backlog,High,2,user-types;backend;ledger,"On provisioning failure after retries: append a reversal transaction (merchant_collection -> consumer wallet; ledger stays append-only) and set recharge FAILED/REVERSED. Stuck PENDING recharges surface in the existing reconciliation queue. Reversal ledger-invariant test (net-zero).",Epic 17 — Airtime Merchant Vertical
Events + ledger-invariant tests for airtime flow,Backlog,High,2,user-types;backend;security,"Provisioning outcomes ride wallet.transactions.completed with recharge status. automation-testing: ledger sum-to-zero, append-only, reversal correctness, idempotency, tenant isolation for the airtime flow.",Epic 17 — Airtime Merchant Vertical
