Title,Status,Priority,Estimate,Labels,Description,Parent
Redemption + Catalog,Done,Urgent,,Epic;phase-D,"Phase D. User converts earned points into cash via a registered redemption provider. Catalog endpoints surface user's full rewards story.",
Redemption provider registration,Done,High,2,phase-D;backend;redemption,"POST /redemption/providers creates provider + provider_redemption_wallet atomically. redemption_wallet_account_id FK populated. PRD: Pay-PRD-0730",Redemption + Catalog
Initiate redemption (two-legged PENDING),Done,Urgent,3,phase-D;backend;redemption,"POST /redemption/initiate with Idempotency-Key. Lock user.points_account, derive_balance, reject if insufficient. Atomic two-leg PENDING. Concurrent double-spend blocked. PRD: Pay-PRD-0660, 0670, 0740",Redemption + Catalog
Confirm redemption (PENDING -> COMPLETED),Done,High,2,phase-D;backend;redemption,"POST /redemption/{id}/confirm flips entries PENDING -> COMPLETED. Re-confirming -> 409. PRD: Pay-PRD-0690",Redemption + Catalog
Fail redemption (PENDING -> REVERSED),Done,High,2,phase-D;backend;redemption,"POST /redemption/{id}/fail flips PENDING -> REVERSED, restoring points. Reason required. PRD: Pay-PRD-0700",Redemption + Catalog
Catalog summary endpoint,Done,Medium,2,phase-D;backend;catalog,"GET /catalog/{user_id}/summary returns available + reserved + lifetime_earned + lifetime_redeemed. No points_account -> points: null. PRD: Pay-PRD-0970",Redemption + Catalog
Redemption history endpoint,Done,Low,1,phase-D;backend;catalog,"GET /catalog/{user_id}/redemption-history newest first, tenant-scoped. PRD: Pay-PRD-1030",Redemption + Catalog
Points history endpoint (full audit trail),Done,Medium,2,phase-D;backend;catalog,"GET /catalog/{user_id}/points-history per-entry ledger view with rule_name + triggering_event_id for reward credits. PRD: Pay-PRD-0980",Redemption + Catalog
Reconciliation + Admin UI,In Progress,Urgent,,Epic;phase-E,"Phase E. Closes redemption's stale PENDING gap. E.1 = backend reconciliation; E.2 = admin UI shell; E.3 = admin pages.",
Sweep stale PENDING redemptions (Phase E.1),Done,Urgent,3,phase-E1;backend;reconciliation,"POST /reconciliation/sweep with threshold_minutes. Bumps retry_count. Escalates to MANUAL_REVIEW after provider.max_retries. Audit log per item. Ignores COMPLETED. PRD: Pay-PRD-0750, 0790, 0800",Reconciliation + Admin UI
Manual resolve from MANUAL_REVIEW (Phase E.1),Done,High,3,phase-E1;backend;reconciliation,"POST /reconciliation/{id}/resolve with outcome (COMPLETED/REVERSED) and reason. Flips ledger entries. Rejects non-MANUAL_REVIEW. Cross-tenant 404. Audit_log written. PRD: Pay-PRD-0780, 0790",Reconciliation + Admin UI
Audit log query (Phase E.1),Done,Medium,2,phase-E1;backend;audit,"GET /reconciliation/audit tenant-scoped with optional entity_type/entity_id filters. Newest first. Hard cap on limit. PRD: Pay-PRD-0800. NFR: 0160, 0250",Reconciliation + Admin UI
Provider status-check polling (Phase E.1+),Backlog,Medium,3,phase-E1;backend;reconciliation;phase-F-dep,"Sweep calls provider status_check_url for each PENDING. TLS 1.2+ enforced. HMAC-verified response (Phase F pairing). PRD: Pay-PRD-0720. Depends on Phase F.",Reconciliation + Admin UI
Scheduled sweep via Celery beat (Phase E.1+),Backlog,Low,2,phase-E1;infra;celery,"Celery beat every 15 min. Configurable per tenant. Emits pending_count metrics. PRD: Pay-PRD-0750. NFR: 0070",Reconciliation + Admin UI
Admin UI shell (Phase E.2),Backlog,High,5,phase-E2;admin-ui;phase-F-dep,"Next.js 16 AppShell: sidebar, topbar, command palette ⌘K, Keycloak login, tenant switcher. Dark mode default. Per docs/04-ui-layouts.md §3-4. Depends on Phase F.",Reconciliation + Admin UI
"Admin pages: Users, Transactions, Reconciliation, Audit (Phase E.3)",Backlog,High,8,phase-E3;admin-ui,"Four operator screens with drawers, status pills, JSON diff viewer for audit. Per docs/04-ui-layouts.md §5. Depends on Story 5.6.",Reconciliation + Admin UI
Authentication & Roles,In Progress,Urgent,,Epic;phase-F,"Phase F. Keycloak JWT validation on admin endpoints; PIN/OTP flow for end users; HMAC verification on provider callbacks; Module 7 Roles & Permissions.",
Keycloak JWT validation dependency (Phase F.1),Done,Urgent,3,phase-F1;backend;platform;auth,"get_current_admin() validates Keycloak JWT signature + exp + iss. require_admin_role(role) is the per-endpoint gate. Applied to all reconciliation endpoints as the pilot. 19 new auth tests + 32 existing reconciliation tests pre-authed. 110/110 tests pass. PRD: Pay-PRD-0100. NFR: 0170, 0180, 0210, 0260",Authentication & Roles
PIN/OTP user authentication flow,Backlog,Urgent,5,phase-F;backend;identity;auth,"Module 1 user-side: register -> OTP verify -> PIN set -> PIN auth. bcrypt hashes. Lockout after PIN_MAX_ATTEMPTS. Session tokens in Redis only. PRD: Pay-PRD-0020-0040. NFR: 0170, 0180, 0190",Authentication & Roles
Per-user Roles & Permissions (Module 7),Backlog,High,3,phase-F;backend;auth,"roles, role_permissions, user_roles tables. Role check is first step in payment orchestration. PRD: Pay-PRD-0440-0470, Pay-PRD-0260 step 1",Authentication & Roles
"Remove test-only body params (sender_user_id, tenant_id)",Backlog,High,3,phase-F;backend;auth,"Every endpoint resolves actor from token. OpenAPI tags lose test-only suffix. Tests pass JWT in Authorization header.",Authentication & Roles
HMAC verification on provider callbacks,Backlog,High,3,phase-F;backend;platform;security,"Provider webhook signatures via shared_secret. HMAC-SHA256 with constant-time comparison. Timestamp tolerance <= 5min. PRD: Pay-PRD-0495. NFR: 0210, 0260",Authentication & Roles
Audit log writes from every state-changing endpoint,Backlog,High,3,phase-F;backend;audit,"Wire audit_log into payments, redemption, rules, etc. Every config change recorded. Every status transition recorded. NFR: 0160, 0250",Authentication & Roles
Money Controls (Budgets + Limits + Pricing),Backlog,Urgent,,Epic;phase-G,"Phase G. Pre-issuance guards: platform-side budget caps, per-tenant transaction limits, transaction fees.",
Reward budgets table + pre-issuance check,Backlog,Urgent,3,phase-G;backend;rewards,"reward_budgets table with scope_type, scope_id, currency, window_type. check_budget_available() called inside issue_points_reward. Budget exceeded -> 409. 50/80/100% alert hooks.",Money Controls (Budgets + Limits + Pricing)
Module 5: Limits & Thresholds,Backlog,High,3,phase-G;backend;limits,"limit_configs per tenant + transaction_type. Min/max per-transaction. Daily count + value caps. Step 2 of Pay-PRD-0260. PRD: Pay-PRD-0330-0380",Money Controls (Budgets + Limits + Pricing)
Module 6: Pricing Engine,Backlog,High,3,phase-G;backend;pricing,"Fixed + variable fees per transaction type. Fee calculated before ledger write. Fee added as debit leg. Zero-fee still checks. Step 3 of Pay-PRD-0260. PRD: Pay-PRD-0390-0430",Money Controls (Budgets + Limits + Pricing)
Admin UI for limits + pricing config,Backlog,Medium,5,phase-G;admin-ui,"Per-tenant editable tables. Inline edit. Audit log on save. Per docs/04-ui-layouts.md §5.6.",Money Controls (Budgets + Limits + Pricing)
Notifications & Engagement,Backlog,Medium,,Epic;notifications,"Module 13 + Module 17. Internal SMS/push; outbound events to WebEngage.",
Transaction completion notification,Backlog,Medium,2,notifications;backend,"SMS/push on COMPLETED transaction. PRD: Pay-PRD-0810, 0840",Notifications & Engagement
Reward issuance notification,Backlog,Medium,2,notifications;backend,"SMS/push on reward issuance. PRD: Pay-PRD-0830",Notifications & Engagement
"WebEngage outbound emitter (reward.issued, tier.changed, streak.broken, milestone.approaching)",Backlog,Medium,3,notifications;backend;engagement,"Emit external engagement events to wallet.engagement.outbound topic. PRD: Pay-PRD-1060-1120",Notifications & Engagement
Catalog Expansion,Backlog,Medium,,Epic;catalog,"Module 16 beyond Phase D summary/history.",
Tier status + auto-progression,Backlog,Medium,3,catalog;backend,"tiers table with thresholds. tier change tracked in user_tier_history. PRD: Pay-PRD-0990",Catalog Expansion
Badges (earned + locked display),Backlog,Low,2,catalog;backend,"badges + user_badges tables. Auto-award when rule fires. PRD: Pay-PRD-1010",Catalog Expansion
Active challenges,Backlog,Low,3,catalog;backend,"Challenges with deadline + completion criteria. PRD: Pay-PRD-1020",Catalog Expansion
Next milestone nudges,Backlog,Medium,2,catalog;backend,"Compute remaining actions per active rule. Used for engagement. PRD: Pay-PRD-1000",Catalog Expansion
Points expiry warnings,Deferred,Low,3,catalog;backend,"Points expiry per Pay-PRD-1040. DEFERRED per PRD §5 non-goal in Phase 1.",Catalog Expansion
Rules Engine Expansion,Backlog,Medium,,Epic;rules-engine,"Remaining 5 of 7 rule types from PRD Module 9.",
Streak rule type,Backlog,Medium,3,rules-engine;backend,"Streak rule + streak-broken event emission. PRD: Pay-PRD-0615, 0616",Rules Engine Expansion
Value-based rule type,Backlog,Medium,2,rules-engine;backend,"Min amount filter on count-based rules. PRD: Pay-PRD-0618",Rules Engine Expansion
Composite rule type (AND/OR),Backlog,Medium,5,rules-engine;backend,"rule_conditions table. AND/OR composite logic. PRD: Pay-PRD-0619",Rules Engine Expansion
Campaign rule type,Backlog,Low,2,rules-engine;backend,"start_date/end_date bounds. Auto-deactivate on end. PRD: Pay-PRD-0621",Rules Engine Expansion
Referral rule type,Backlog,Medium,3,rules-engine;backend,"referral_codes + referrals tables. Referring user rewarded on referred user qualifying action. PRD: Pay-PRD-0622",Rules Engine Expansion
Bonus multipliers,Backlog,Low,2,rules-engine;backend,"bonus_multipliers + bonus_multiplier_rules tables. Time-limited point boost. PRD: Pay-PRD-0623",Rules Engine Expansion
Segment binding on rules + segments module,Backlog,Medium,5,rules-engine;segments;backend,"segments + segment_members + segment_upload_history. Behavioural + uploaded segments. Rule audience binding. PRD: Pay-PRD-0624, Module 15 (0910-0960)",Rules Engine Expansion
